file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/PassengerDroneAdapter.java,flight.reservation.plane.PassengerDroneAdapter,getPassengerCapacity/0,false,16,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Aircraft.java,flight.reservation.plane.Aircraft,getCrewCapacity/0,false,8,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Aircraft.java,flight.reservation.plane.Aircraft,getModel/0,false,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/plane/Aircraft.java,flight.reservation.plane.Aircraft,getPassengerCapacity/0,false,6,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,getNumber/0,false,37,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,toString/0,false,50,1,1,0,1,1,2,3,1,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,"Flight/4[int,flight.reservation.Airport,flight.reservation.Airport,flight.reservation.plane.Aircraft]",true,15,3,1,0,1,1,1,7,0,0,4,1,1,2,0,0,0,0,0,0,4,0,0,0,0,0,10,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,getArrival/0,false,45,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,checkValidity/0,false,23,1,2,1,1,3,1,5,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,15,2,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,isAircraftValid/1[flight.reservation.Airport],false,29,2,3,1,2,1,5,3,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,getDeparture/0,false,41,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/flight/Flight.java,flight.reservation.flight.Flight,getAircraft/0,false,33,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/CustomerNoFlyListValidator.java,flight.reservation.order.CustomerNoFlyListValidator,"check/3[flight.reservation.Customer,java.util.List<java.lang.String>,java.util.List<flight.reservation.flight.ScheduledFlight>]",false,10,3,2,0,2,1,3,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrder.java,flight.reservation.order.FlightOrder,getScheduledFlights/0,false,22,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrder.java,flight.reservation.order.FlightOrder,FlightOrder/1[java.util.List<flight.reservation.flight.ScheduledFlight>],true,14,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrder.java,flight.reservation.order.FlightOrder,getNoFlyList/0,false,18,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/Users/va/SE takehome 2/Reservation-System-Starter/src/main/java/flight/reservation/order/FlightOrder.java,flight.reservation.order.FlightOrder,processOrderWithStrategy/1[flight.reservation.payment.PaymentStrategy],false,28,2,4,0,4,3,4,10,2,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10,1,0,false
